                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5326,                 21.342,                 2.7182,                 1.8236,                 24.557,                 1.1311,                      0,                      0,                      0,                      0,                 4.0194,                 27.684,                 2.3442,                 1.0302,                  25.27,                0.60978,               0.070268,              0.0033036,              0.0033036
                      2,                 4.6217,                 11.435,                 2.7587,                 1.8631,                 10.818,                 1.1537,                      0,                      0,                      0,                      0,                 4.3279,                 14.486,                 2.5795,                 2.1216,                 11.168,                 1.5851,               0.040235,              0.0066041,              0.0066041
                      3,                 5.2759,                 7.3483,                 3.0264,                 1.7525,                 5.1012,                 1.0549,                      0,                      0,                      0,                      0,                 6.5132,                 8.7755,                  3.443,                 1.2234,                 5.2886,                0.75202,               0.010169,              0.0098715,              0.0098715
                      4,                 5.5124,                  5.818,                 2.9028,                 1.5099,                 2.9498,                0.86977,                      0,                      0,                      0,                      0,                  6.273,                 6.0921,                 3.0416,                 4.4263,                 5.8091,                 3.9678,              0.0098515,              0.0098515,              0.0098515
                      5,                 5.0603,                  5.159,                 2.6876,                 3.4199,                 3.8569,                 1.7673,                      0,                      0,                      0,                      0,                0.02042,                0.18075,                 0.0273,                0.91523,                 1.0844,                0.77871,              0.0098515,              0.0098515,              0.0098515
                      6,                 4.8402,                 4.7371,                 2.4759,                 5.0837,                 5.2688,                 2.5247,                      0,                      0,                      0,                      0,                0.20585,                0.81911,                 0.1468,                  5.052,                  6.523,                 3.9608,               0.009802,               0.009802,               0.009802
                      7,                 4.7488,                 4.2922,                 2.3294,                 4.6158,                 4.8255,                 2.3011,                      0,                      0,                      0,                      0,                0.01408,                 0.4171,                0.01165,                0.00295,                0.14372,                0.00215,              0.0097525,              0.0097525,              0.0097525
                      8,                 4.5987,                 3.9371,                 2.2183,                 4.3112,                 4.3012,                 2.0564,                0.00084,                 0.0416,                0.00085,                0.00025,                 4.2207,                 3.7387,                  2.106,                 4.0772,                   4.09,                 2.0147,               0.009703,               0.009703,               0.009703
                      9,                 4.0526,                 3.5182,                 1.9679,                 3.9835,                  3.798,                 1.8633,                0.00084,                 0.0416,                0.00085,                0.00025,                 4.8154,                 4.6894,                 2.3918,                    5.3,                 7.5647,                 2.9446,              0.0096535,              0.0096535,              0.0096535
                     10,                 3.6807,                 3.3095,                 1.7889,                 3.4839,                   3.54,                 1.6592,                0.00453,                0.16136,                0.00736,                0.00191,                 3.1277,                 3.3396,                 1.7078,                 3.2288,                 3.7456,                 1.6664,               0.009604,               0.009604,               0.009604
                     11,                 3.2671,                  3.009,                 1.6187,                 3.0619,                 3.1886,                 1.5096,                0.08949,                0.09725,                0.06641,                0.02077,                 2.6827,                 2.8994,                 1.5059,                 2.5083,                  3.028,                 1.3975,              0.0095545,              0.0095545,              0.0095545
